K5R1/8/6p1/5k2/8/8/8/8 w - - 0 1;Trainer Rook Endgame 1
8/8/P4R2/4p3/8/4K3/r5p1/6k1 w - - 2 2;Trainer Rook Endgame 2
8/3K4/5k1P/5PR1/5P2/8/8/7r b - - 0 1;Trainer Rook Endgame 3
5k2/R7/5K2/5P2/8/8/8/5r2 b - - 0 1;Trainer Rook Endgame 4
3r3r/5pp1/3k3p/1N6/7R/8/PPP3P1/1K6 b - - 0 27;Double Rooks vs Rook and Knight
8/2p2pk1/2p3pp/2P1N3/3r4/6PP/5PK1/8 b - - 0 46;Rook vs Knight with doubled pawns
8/2k1b3/8/3PP3/B2K4/8/8/8 w - - 0 1;Connected pawns win
8/2b1k3/8/3PP3/B2K4/8/8/8 b - - 0 1;Connected pawns draw
8/6pp/8/3k4/6P1/5K1P/5P2/8 w - - 1 13;3:2 pawns win
rr4k1/2RR4/5p2/3ppP2/2b5/7N/6PK/8 w - - 0 1;Nimzowitsch Diagram 34
8/4PPK1/8/8/8/8/8/k7 w - - 0 1;Double Prom Test
8/8/4k1p1/6Pp/8/5K2/8/8 w - - 0 1;Opposition Draw
3k4/8/8/8/2PK4/8/8/8 b - - 0 1;Nunn Diagram 2a (draw)
6k1/8/8/4K1P1/8/8/8/8 w - - 0 1;Nunn Diagram 2b (win)
4k3/8/4KPp1/6P1/8/8/8/8 w - - 0 1;Nunn Diagram 2c (win)
8/5p2/8/6Pk/5P2/8/8/7K w - - 0 1;Nunn Diagram 2d (draw)
8/8/8/7p/3K3P/8/8/5k2 w - - 0 1;Nunn Diagram 3b (win)
8/p7/8/1p6/1P6/P5k1/8/6K1 b - - 1 1;Nunn Diagram 3c (draw)
8/8/5k2/8/p7/8/1PK5/8 w - - 0 1;Nunn Diagram 3d (win)
k7/P7/1P6/2K5/8/8/8/8 w - - 1 2;Nunn Diagram 4a (win)
6k1/8/5KP1/6P1/8/8/8/8 w - - 1 2;Nun Diagram 4b (win)
1R6/5p1p/5p2/p7/k7/7P/5PP1/6K1 w - - 0 1;Rook Cutoff
6k1/5p2/7p/n2PP1p1/p3K3/B5P1/5P2/8 w - - 1 45;Central Passers
2k5/p1p2pp1/1p5p/8/8/P3PP1P/1PR1NPK1/3r4 w - - 0 23;Knight up, easy version
8/3N1p2/6p1/Rp5p/2p1kP2/P3P2P/1r3PK1/8 w - - 0 39;Knight up, moderate version
6k1/5pp1/7p/N7/1B6/8/1r4PP/4R1K1 w - - 0 37;2 Pieces Up
8/1p6/7p/3nk1p1/rP4P1/P4RKP/5P2/8 b - - 1 49;Knight Up